Name of Product (English),Net Rate (₹)
900 CC,132.0
Emu Egg,166.0
Water Queen,176.0
20-20 Fountain,154.0
Pistal 5G,198.0
Pop Corn New,132.0
Popoye (5 Pcs),176.0
Party Canon / Magic Show (2 Pcs),242.0
Power Puff Girls (5 Pcs),176.0
Lemon Tree 2 in 1,154.0
Hybrid 2 in 1 New,198.0
Jungle Series 2 in 1 New,232.0
Motu Patlu 2 in 1,242.0
Mumbo Jumbo 2 in 1,254.0
Mad Angles 3 in 1,276.0
Helo Panda 5 in 1,386.0
Arjun Tank 3 in 1 New,440.0
Water Melon 3 in 1 New,660.0
Sword,276.0
Smiley Mushroom,166.0
Cylinder Bomb,176.0
Purple Cone,220.0
Jolly Bobby Asok Brand,242.0
Car (2 Pcs),276.0
Taka Tak Crackling (3 Pcs),308.0
Vajra - Handshot,1540.0
Hydro Bomb Green (10 Pcs),72.0
King Of King Green (10 Pcs),94.0
Classic Bomb (10 Pcs),122.0
Agni Bomb,188.0
Digital Bomb (10 Pcs),242.0
Joker Bomb - 1/4 kg,56.0
Mega Paper Bomb - 1/2 kg,110.0
Bada Paper Bomb - 1 kg,220.0
Avatar 2,386.0
28 Giant,26.0
56 Giant,58.0
24 Deluxe,66.0
50 Deluxe,110.0
100 Deluxe,220.0
1H Wala,40.0
1k Wala,176.0
2k Wala,352.0
5k Wala,936.0
10k Wala,1980.0
1k Wala Spl,330.0
2k Wala Spl,660.0
5k Wala Spl,1650.0
10k Wala Spl,3300.0
Rocket Bomb,62.0
Colour Rocket,72.0
Lunik Express (10 Pcs),132.0
Whistling Rocket (10 Pcs),198.0
Chotta Fancy (2 Pcs),88.0
Sevenshot (5 Pcs),110.0
Sky Shot (5 Pcs),122.0
Coco Loco (2 Pcs),132.0
Dup Tip (3 Pcs),132.0
Army Force (5 Pcs),132.0
Beast Show (5 Pcs),132.0
Seeti Maar 30 Shot Missiles,198.0
Avengers (5 Pcs),264.0
"2"" Fancy",122.0
"2"" Fancy (3 Pcs)",264.0
"2"" Violet Fancy",264.0
"2"" Pink Fancy",264.0
"2 1/2"" Three Step",242.0
"2 1/2"" Love All (3 Pcs) INF",496.0
"3"" Fancy",242.0
"3 1/2"" Fancy",264.0
"3 1/2"" Fancy Kingfisher",308.0
"3 1/2"" Fancy Sevenstep",308.0
"3 1/2"" Fancy Nayagara Falls",308.0
"3 1/2"" Fancy (2 Pcs)",606.0
"4"" Fancy",374.0
"4"" 12 Step",440.0
"4"" Fancy Double Ball",440.0
"4"" Fancy (2 Pcs)",220.0
"5"" Fancy",606.0
"6"" Fancy",1320.0
Crunch,496.0
Festi,496.0
Rockers / Sprinkles,440.0
Flower Power,606.0
Pop Up (2 Pcs),1046.0
Orange Fancy (2 Pcs),1046.0
Zoom Pink (2 Pcs),1046.0
INF Unique Shells (2 Pcs),1320.0
INF Triple Treat (3 Pcs),1046.0
Sony Oscar Ring Series (2 Pcs),1320.0
12 Shot Raider,122.0
12 Shot Multicolour,242.0
12 Shot Whistling,386.0
25 Shot Colour Volcano,220.0
10 Shot (Green/Red Tail With Multicolour),198.0
15 Shot Multi Colour,286.0
30 Shot Multi Colour,418.0
30 Shot Multi Colour - Special,496.0
50 Shot Multi Colour Full Crackling,792.0
60 Shot Multi Colour - Mini,836.0
60 Shot Multi Colour - Special,946.0
120 Shot Multi Colour - Mini,1672.0
120 Shot Multi Colour - Special,1892.0
240 Shot Multi Colour - Special,3520.0
500 Shot Multi Colour - Special,7150.0
